

----------------------------特别土特产----------------------------
特别土特产(2019-07-19 08:37:55):  看看这会行不行

----------------------------tb89365859----------------------------
tb89365859(2019-07-19 09:51:06):  你好
tb89365859(2019-07-19 09:51:06):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:06):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:51:25):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
tb89365859(2019-07-19 09:51:34):  我的车都买了俩个月了咋还没给香水啊
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:52:00):  小客服帮您看一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:52:02):  给您添麻烦了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:54:33):  [图片]麻烦亲亲提供一下您的发票小客服这边为您登记的哦
tb89365859(2019-07-19 11:00:04):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 11:00:49):  亲亲这个香水是需要登记发票的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:11:21):  
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:11:39):  麻烦亲亲看到后尽快给到一下发票小客服好为您登记的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:12:15):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
tb89365859(2019-07-19 17:12:17):  

----------------------------succeed丶in丶escaping----------------------------
succeed丶in丶escaping(2019-07-19 12:36:53):  在吗
succeed丶in丶escaping(2019-07-19 12:36:54):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:36:54):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:37:07):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
succeed丶in丶escaping(2019-07-19 12:37:30):  [图片]
succeed丶in丶escaping(2019-07-19 12:37:44):  那个牌牌掉了
succeed丶in丶escaping(2019-07-19 12:37:57):  你们可以发这个吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:38:05):  实在很不好意思哦亲亲 
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:38:16):  建议您可以这边咨询一下门店是否有的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:38:20):  [表情]
succeed丶in丶escaping(2019-07-19 12:38:59):  好的谢谢
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 12:39:05):  客气了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:09:18):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:10:03):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
succeed丶in丶escaping(2019-07-19 17:10:05):  

----------------------------sun578228537----------------------------
sun578228537(2019-07-19 13:52:11):  在吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:52:12):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:52:20):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
sun578228537(2019-07-19 13:52:59):  我新买的19款揽胜运动版
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:53:26):  非常感谢亲亲的支持呢 亲亲现在又什么需要了解的呢
sun578228537(2019-07-19 13:53:30):  能用流量卡吗，在线导航的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:53:37):  请确保您具备如下条件：1.您的爱车配备了InControl智能驭领高级触控服务系统；2.您持有有效的中国大陆身份证；3.您的收货地址位于中国大陆；4.您拥有中国大陆手机	号码；5.您的爱车为一手车（需提供一手车发票）；6.您需在开具购车发票后9个月内申请购买本产品；7.确保您知晓爱车的VIN（车辆识别码）号码；8.VIN码符合此次活动。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:53:44):  您这边需要满足上方条件的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:53:52):  麻烦亲亲提供一下您的发票信息的哦
sun578228537(2019-07-19 13:54:46):  在车上啊
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:55:06):  好的亲亲方便的时候再提供一下也是可以的哦
sun578228537(2019-07-19 13:56:16):  19款直列六缸，带48轻混的，揽胜运动版HSE板本的
sun578228537(2019-07-19 13:56:52):  手扶箱那有卡槽设计的
sun578228537(2019-07-19 13:57:21):  但我问销售说不能用
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:59:00):  请确保您具备如下条件：1.您的爱车配备了InControl智能驭领高级触控服务系统；2.您持有有效的中国大陆身份证；3.您的收货地址位于中国大陆；4.您拥有中国大陆手机	号码；5.您的爱车为一手车（需提供一手车发票）；6.您需在开具购车发票后9个月内申请购买本产品；7.确保您知晓爱车的VIN（车辆识别码）号码；8.VIN码符合此次活动
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:59:09):  只要满足上方的所有条件都是可以使用的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:00:01):  如果经销商说无法使用 那亲亲有咨询是因为什么原因无法使用吗 
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:00:19):  如果确实无法使用小客服这边也不好勉强的哦
sun578228537(2019-07-19 14:05:13):  如果我让你看了车辆识别码，是否可确认能办理
sun578228537(2019-07-19 14:05:28):  我可以下去拿的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:05:35):  您这边将您的发票提供一下就可以了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:05:41):  小客服可以帮您查询一下的哦
sun578228537(2019-07-19 14:06:06):  好的，等一下
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:06:11):  [表情]
sun578228537(2019-07-19 14:18:18):  [图片]
sun578228537(2019-07-19 14:18:29):  这可以了吗
sun578228537(2019-07-19 14:18:37):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:18:41):  麻烦亲亲提供一下发票的哦
sun578228537(2019-07-19 14:21:03):  等下
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:21:13):  [表情]
sun578228537(2019-07-19 14:21:18):  我让发照片来
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:21:25):  好的哈
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:21:30):  亲亲方便的时候就可以了哦
sun578228537(2019-07-19 14:21:33):  在办牌那边的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:21:57):  好的
sun578228537(2019-07-19 14:21:59):  请教下
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:22:07):  亲亲请说哦
sun578228537(2019-07-19 14:22:44):  我儿子有张联通卡的，前几天装上去没信号的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:23:02):  亲亲数据卡和手机卡是不一样的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:23:17):  数据卡主要作用是导航的 手机卡主要作用是打电话的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:23:28):  而且数据卡是无法打电话的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:23:35):  亲，这张卡是InControl系统的一个附属功能，它不影响InControl功能的正常使用。但是有了这张卡之后，可以实现以下功能1，车内热点共享2，导航实时路况更新3，浏览器上网功能
sun578228537(2019-07-19 14:24:38):  我儿子那卡也是用来导航用的，那和装在车顶后视镜上的那种
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:25:14):  建议亲亲可以让您儿子检查一下是否是流量不充足或者是信号不好
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:26:03):  又或者是车里面哪里的设置没有设置对哦
sun578228537(2019-07-19 14:32:10):  有可能吧
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:32:22):  [表情]
sun578228537(2019-07-19 14:32:52):  一定要联通卡么，移动的行吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:33:19):  其他的亲亲也是可以试试的哦 因为我们这边也没有实践过的呢
sun578228537(2019-07-19 15:46:33):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:46:50):  小客服帮您查询一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:48:32):  您好，您的VIN码是可以申请购买的。现在把申请购买数控卡的操作流程和注意事项发送给您查看一下。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:48:39):  https://item.taobao.com/item.htm?id=520717372031&spm=2014.21600712.0.0
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:48:45):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:48:50):  请您接收到网址链接后，使用订单中预留的手机号码登录，请您在登录实名系统内上传信息时注意以下几点：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍摄环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；8.照片支持JPG、GIF格式。注：请您在上传照片时严格按照上面的要求上传，如不符合要求，将无法认证您的信息。如果订单处理成功，您将收到包裹物流信息；如果订单处理失败，我们将联系您，告知失败原因并进行后续处理。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:48:53):  下单购买数控卡——订单中预留手机号码收到短信链接（一般次日收到短信通知）——点击短信链接进入实名系统认证——完成信息上传——等待审核发卡流程是很简单的呢，发给您的只是上传资料的注意事项。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:04:15):  请问您这边还有其他问题需要咨询吗
sun578228537(2019-07-19 17:09:25):  已经下单了，暂时没有
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:09:38):  好的亲亲耐心等待短信的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:09:40):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
sun578228537(2019-07-19 17:09:42):  

----------------------------小河才璐尖尖角----------------------------
小河才璐尖尖角(2019-07-19 14:09:26):  你好，首付多少钱？
小河才璐尖尖角(2019-07-19 14:09:26):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:09:26):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:09:36):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:09:42):  亲，官方指导价：58.2万元-158.6万元，由于各地销售政策不一样，这个价格只能做个参考哦。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:09:54):  具体的首付以及月供都是以门店经销商为准的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:09:57):  您这边可以先留下您的联系方式（姓名、手机、所属区域），我们让您附近的经销商联系到您，您是有机会和经销商谈到一个最优惠的价格的哦，当然最终的车价还是要靠您跟门店协商的哈
小河才璐尖尖角(2019-07-19 14:10:13):  http://item.taobao.com/item.htm?id=587115564031
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:10:21):  [表情]
小河才璐尖尖角(2019-07-19 14:10:38):  你这个日供58的首付多少钱
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:11:19):  具体的首付以门店经销商为准的哦，亲亲方便的话可以留下您的联系方式我们这边让门店经销商为您具体介绍一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:58:47):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 17:04:09):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
小河才璐尖尖角(2019-07-19 17:04:11):  

----------------------------baobao18325907632----------------------------
baobao18325907632(2019-07-19 16:44:46):  你好
baobao18325907632(2019-07-19 16:44:47):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:44:47):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:45:29):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
baobao18325907632(2019-07-19 16:45:29):  这个极光的定金不买车可以退吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:45:37):  亲，未验证的短信电子凭证是可以直接申请退款的呢。款项会在24小时内通过系统自动原路返回哦。如果是已经验证成功过的短信电子凭证，订金需要通过门店进行协商退款。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:45:49):  未使用过的都是可以退的哦
baobao18325907632(2019-07-19 16:46:18):  有时间限制吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:46:56):  有的哦
baobao18325907632(2019-07-19 16:47:03):  多久
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:47:48):  亲亲您购买成功后订单上会显示有效期的哦
baobao18325907632(2019-07-19 16:49:34):  好的
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:49:40):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:52:56):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:58:04):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
baobao18325907632(2019-07-19 16:58:06):  

----------------------------渔夫ql----------------------------
渔夫ql(2019-07-19 15:13:10):  http://item.taobao.com/item.htm?id=584180456658
渔夫ql(2019-07-19 15:13:11):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:13:11):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
渔夫ql(2019-07-19 15:13:15):  你好
渔夫ql(2019-07-19 15:13:16):  在吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:13:20):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
渔夫ql(2019-07-19 15:13:24):  这个车有多长？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:13:36):  小客服帮您查询一下的哦
渔夫ql(2019-07-19 15:13:43):  好
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:13:53):  [表情]
渔夫ql(2019-07-19 15:24:07):  ？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:24:30):  专员还未回复哦 有回复后小客服会第一时间告知您的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:26:20):  155*85*50mm
渔夫ql(2019-07-19 15:27:15):  有这么大？
渔夫ql(2019-07-19 15:27:18):  确定？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:27:48):  这个是包装尺寸的哦
渔夫ql(2019-07-19 15:38:19):  那车的尺寸呢
渔夫ql(2019-07-19 15:38:26):  我要的是车的尺寸
渔夫ql(2019-07-19 15:39:47):  ？
渔夫ql(2019-07-19 15:39:48):  ？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:40:16):  亲亲我们这边车模的具体尺寸的哦 都是包装尺寸的哦
渔夫ql(2019-07-19 15:40:24):  好吧
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:40:26):  实在是很不好意思
渔夫ql(2019-07-19 15:40:35):  到苏州包邮吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:40:47):  全店精品单笔订单满300元包邮（港澳台地区除外）。不满足的话需要支付运费，建议您把中意的宝贝放入购物车凑满300元后一起提交购买哦。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:40:56):  满足300元包邮的哦
渔夫ql(2019-07-19 15:41:16):  那到昆山也不要12块啊
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:41:57):  普通情况是发顺丰快递，大件发物流，顺丰不到的地方是韵达快递，请您知悉。
渔夫ql(2019-07-19 15:42:23):  好吧
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:42:30):  [表情]
渔夫ql(2019-07-19 15:44:10):  今天可以发货吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:44:20):  您好，16点前支付完成的订单正常当天可发货，16点后支付完成的订单是第二天发货的哦。我们也会尽快帮您安排，劳烦亲亲耐心等待下哈[表情]
渔夫ql(2019-07-19 15:44:39):  好
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:44:47):  亲亲不要急的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:44:52):  [表情]
渔夫ql(2019-07-19 15:45:33):  那我是16点之前下的订单
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:45:50):  对的哈
渔夫ql(2019-07-19 15:46:10):  那麻烦帮我今天发货
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:46:24):  小客服会催促的哦
渔夫ql(2019-07-19 15:46:31):  好，谢谢
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:46:37):  客气了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:52:22):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:56:37):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
渔夫ql(2019-07-19 16:56:39):  

----------------------------fuyl861115----------------------------
fuyl861115(2019-07-19 13:48:50):  油卡还没有寄出来？
fuyl861115(2019-07-19 13:48:50):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:48:50):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
fuyl861115(2019-07-19 13:48:51):  [卡片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:49:02):  小客服帮您看一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:51:05):  [图片]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:51:11):  您好，收到您的购车发票后，我们会统计名单审核，审核通过尽快安排发放礼包。礼包会在核销提车截止日期后30个工作日左右发放哦。这只是一个大概的时间呢，我们会尽快核实发放的哦。礼包发出后我们会给您留言提醒的，非常抱歉，还请您再等待一下哦。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:51:21):  大概会在10月初左右发货的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:51:24):  亲亲耐心等待一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:51:28):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 15:20:13):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:52:33):  
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:52:38):  
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 16:52:45):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
fuyl861115(2019-07-19 16:52:47):  

----------------------------tb3737751_88----------------------------
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:28:35):  亲亲您好，这里是捷豹路虎官方旗舰店，我是线上购车管家16
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:28:51):  小客服这边看到亲亲购买了我们店铺的整车订金
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 14:29:28):  想要咨询亲亲是否需要小客服这边为您推荐河南的经销商为您具体介绍一下您购买的车呢

----------------------------张云溥----------------------------
张云溥(2019-07-19 09:06:07):  你好，不好意思拖了这么久。我又上传了一次资料
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:06:07):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:06:36):  好的哈
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:06:52):  您这边提交好后我们这边会催促专员审核的哦
张云溥(2019-07-19 09:08:27):  嗯嗯，看看这次过不过，
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:08:49):  小客服这边已经提醒专员审核了哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:10:39):  审核结果会以短信告知您的哦
张云溥(2019-07-19 09:10:46):  OK
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:10:50):  [表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:34:49):  亲 您的sim卡初次审核成功，已经提交给联通处审核，还请您耐心等待，后期有问题可以随时联系我们为您核实处理，捷豹路虎祝您生活愉快
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:34:51):  请问您这边还有其他问题需要咨询吗
张云溥(2019-07-19 13:41:57):  没了[表情]
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 13:42:11):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]

----------------------------丰富666666----------------------------
丰富666666(2019-07-19 09:18:32):  你好
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:18:32):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:18:45):  您好，欢迎光临捷豹路虎官方旗舰店，我是线上购车管家16，竭诚为您服务。
丰富666666(2019-07-19 09:19:52):  问一下，注册智能驭驾账户的pin码是哪个
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:20:30):  默认0000或者1234您先试一下的哦，如果还是不行您可以联系联通客服帮您查询一下的哦
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:33:52):  请问您这边还有其他问题需要咨询吗
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:34:08):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
丰富666666(2019-07-19 09:34:10):  

----------------------------tjp520----------------------------
tjp520(2019-07-19 09:20:49):  你好，发票拿到了
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:20:49):  您好，我是捷豹路虎官方旗舰店购车管家:16，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情： https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:20:57):  好的哈
tjp520(2019-07-19 09:21:19):  [图片]
tjp520(2019-07-19 09:21:32):  你看我下面怎么操作
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:21:48):  您好，您的VIN码是可以申请购买的。现在把申请购买数控卡的操作流程和注意事项发送给您查看一下。
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:21:57):  https://item.taobao.com/item.htm?id=520717372031&spm=2014.21600712.0.0
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:22:01):  这个是购买链接的哦
tjp520(2019-07-19 09:22:50):  已经购买了，然后呢？
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:23:01):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
捷豹路虎官方旗舰店:线上购车管家16(2019-07-19 09:23:04):  请您接收到网址链接后，使用订单中预留的手机号码登录，请您在登录实名系统内上传信息时注意以下几点：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍摄环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；8.照片支持JPG、GIF格式。注：请您在上传照片时严格按照上面的要求上传，如不符合要求，将无法认证您的信息。如果订单处理成功，您将收到包裹物流信息；如果订单处理失败，我们将联系您，告知失败原因并进行后续处理。
